design_order,design_id,suite,family_id,decision_type,title,decision_object,intervention_mechanism,primary_outcome,horizon,spatial_unit,binding_constraint_kind,evidence_gate_type,analysis_modes,required_source_roles,implementation_status,current_readiness,existing_template_ref,city_bindings,method_claimed,design_signature,content_hash
11,scenario.climate.flood-stormwater.drainage-renewal.v1,climate-disaster-resilience,climate.flood-stormwater,prioritize,Prioritize drainage renewal and green-infrastructure projects,stormwater capital-renewal portfolio,risk-adjusted asset and green-infrastructure portfolio optimization,expected annual service-disruption hours,multi-year,asset,budget,cost-capacity,simulation|optimization,asset-condition|asset-inventory|climate-hazard|financial-cost|geographic-identity|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:b47d97eba11c2c9cf654c592bc46b5c4755a2787128dd2302604a591bc8069dc,sha256:f49f4930f8f691acfbad87ae7888a70547604e82cd9605be393c1c62fe1cd86f
12,scenario.climate.flood-stormwater.retention-storage-sites.v1,climate-disaster-resilience,climate.flood-stormwater,site,Site distributed stormwater retention and storage,stormwater retention and temporary-storage sites,parcel-constrained hydrologic facility-location analysis,unmanaged design-storm runoff volume,multi-year,parcel,environmental,legal-authority,simulation|optimization,asset-inventory|climate-hazard|financial-cost|geographic-identity|land-parcel|legal-regulatory,design-only,blocked-missing-source,,0,false,sha256:8947e8a1525c35a4f5a6f7174b9c6a9508cf58ed52fbc320cceef56e0851daa1,sha256:349713f802d4894902b35d923274aafad0b4ac43b2836d7305499aa8e7ac2c58
13,scenario.climate.flood-stormwater.flood-response-assets.v1,climate-disaster-resilience,climate.flood-stormwater,allocate,"Allocate pumps, barriers, and flood-response crews",mobile flood-response assets,rolling risk-constrained deployment optimization,critical locations without timely flood-response coverage,real-time,network,time,temporal-alignment,simulation|optimization,asset-inventory|climate-hazard|geographic-identity|operating-capacity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:94c04ca69e3bbec0b3158d8eb70f1b64d797171f68e95244098e1c2980468ca2,sha256:d9c63bf4e078aa15ce9d3326dc75e159a19daf5b4e113144dbc6299f59c4a142
14,scenario.climate.flood-stormwater.drainage-maintenance-window.v1,climate-disaster-resilience,climate.flood-stormwater,schedule,Schedule drainage inspection and maintenance windows,preventive stormwater maintenance calendar,weather-aware condition-based maintenance scheduling,high-risk asset-days overdue before major rainfall,weeks,asset,capacity,temporal-alignment,forecast|optimization,asset-condition|asset-inventory|climate-hazard|geographic-identity|operating-capacity|service-schedule,design-only,blocked-missing-source,,0,false,sha256:22e1cb8b28c3c0a1a14a9ec9ec66eb1642b5c81cc278362b57b863683caedc30,sha256:de1a89d3fddfe4b9a136697793d00b34443e3b7d5b155b424e983ffb6abf84dc
15,scenario.climate.flood-stormwater.compound-rainfall-continuity.v1,climate-disaster-resilience,climate.flood-stormwater,stress-test,Stress-test continuity under compound rainfall and outage,compound-flood service-continuity strategy,joint rainfall-tide-blockage-outage scenario simulation,scenario-weighted critical service interruption,weeks,citywide,risk,source-lineage,forecast|simulation|optimization,asset-inventory|climate-hazard|geographic-identity|municipal-demand|operating-capacity,reference-implemented,reference-implemented,deep.climate.rainfall-continuity.v1,0,false,sha256:6a5a10a362e35491600e55adee92f8796afaf7efeaaad074cc99e288a65e161f,sha256:f4bad65682f30a9d689692063173bbee44e2ef205839f23ab8165dc5ccc761f2
16,scenario.climate.flood-stormwater.green-infrastructure-effect.v1,climate-disaster-resilience,climate.flood-stormwater,evaluate,Evaluate distributed green-infrastructure effects,phased green-infrastructure installation,matched catchment difference-in-differences evaluation,change in event runoff volume,multi-year,service-area,technical,causal-identification,descriptive|causal,asset-inventory|climate-hazard|environmental-exposure|geographic-identity|intervention-assignment|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:d6c9efb68622fdeb67d1c63083c2b0e25dbfdb9515c128a25ab466f6e0ea8f28,sha256:49709624bd66abb19edf1e555b45ea90e352d8c2d268cd706e29eb73615a3fc8
17,scenario.climate.wildfire-smoke.smoke-protection-gaps.v1,climate-disaster-resilience,climate.wildfire-smoke,diagnose,Diagnose smoke-exposure and clean-air protection gaps,population smoke-exposure and protection gaps,monitor-satellite-building vulnerability triangulation,people in high-exposure low-protection conditions,seasonal,neighborhood,equity,geographic-alignment,descriptive,climate-hazard|environmental-exposure|equity-attribute|facility-inventory|geographic-identity,design-only,blocked-missing-source,,0,false,sha256:b9a20a7135047103ff30443efe2f51f14344e685a2ab2c0f90a4b7133b8f7b72,sha256:3e43f3d9ff58fe5285c979ee2de5fb1ead6eaed2055af94863165b9a2a73423f
18,scenario.climate.wildfire-smoke.smoke-episode-load.v1,climate-disaster-resilience,climate.wildfire-smoke,forecast,Forecast smoke episode intensity and service load,daily smoke episode and assistance load,ensemble smoke-transport and demand forecasting,service demand above clean-air response capacity,days,citywide,capacity,model-calibration,forecast,climate-hazard|environmental-exposure|geographic-identity|municipal-demand|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:c977d3abc70e7ed5932cb09a1302af06aa45393605345674d770863ac1226363,sha256:bec11155058e57e528b7ee3b2339a45ad0c9850d3557d32297b2a876517cf5c7
19,scenario.climate.wildfire-smoke.filtration-retrofits.v1,climate-disaster-resilience,climate.wildfire-smoke,prioritize,Prioritize public-building filtration retrofits,public-building smoke-protection retrofit portfolio,risk- and occupancy-weighted retrofit prioritization,vulnerable occupant-hours above indoor particulate thresholds,multi-year,facility,budget,cost-capacity,descriptive|optimization,asset-condition|asset-inventory|climate-hazard|environmental-exposure|financial-cost|geographic-identity|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:9b0fac6d04502130d4a95d134e0f950b97610ab7dd74c88aaf1580576357bf92,sha256:4920e0e06cef35c340f7dd5e897847bdcdc13294b280c2c91abdaa744940f4af
20,scenario.climate.wildfire-smoke.clean-air-centers.v1,climate-disaster-resilience,climate.wildfire-smoke,site,Site a network of public clean-air centers,public clean-air center network,capacitated location-allocation with indoor-air qualification,high-risk residents beyond a qualified clean-air space,seasonal,facility,technical,network-readiness,descriptive|optimization,climate-hazard|environmental-exposure|facility-inventory|geographic-identity|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:39d12b6a6616be6d89d5f2a336796cd02dc86b89023c393861f205f12da51dbb,sha256:6e3b568b1baee25bc51ff6e1052886dbe1e22c2ade175ecf410f9b72c63803b4
21,scenario.climate.wildfire-smoke.filters-monitors-outreach.v1,climate-disaster-resilience,climate.wildfire-smoke,allocate,"Allocate filters, monitors, and smoke outreach",portable smoke-protection and monitoring resources,needs- and uncertainty-aware allocation,high-risk households without assigned protection capacity,weeks,population-group,equity,equity-measurement,simulation|optimization,climate-hazard|community-input|environmental-exposure|equity-attribute|geographic-identity|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:c77de7425d188a2281093b8979bbf112f422759300fb8a6e4cbdde73bbd400c6,sha256:63be4d8da45e7fd5dd780ef8c6f3226fb46e519893262801f6333899dbd2c56c
22,scenario.climate.wildfire-smoke.smoke-safe-activities.v1,climate-disaster-resilience,climate.wildfire-smoke,schedule,"Schedule outdoor work, school, and public activities during smoke",smoke-responsive activity and workforce schedule,forecast-threshold scheduling with exposure budgets,scheduled participant-hours above exposure limits,days,facility,regulatory,temporal-alignment,forecast|optimization,climate-hazard|environmental-exposure|geographic-identity|legal-regulatory|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:207a87e723b37e30b7fcec140ffb3ba7ba2ed75db87768fc37e9122cbb92268e,sha256:ce0af3cad9ae12e05b3a01c0db51b788c118c31b93b3aa3d2ad794b304b7e68e
23,scenario.climate.wildfire-smoke.prolonged-smoke-continuity.v1,climate-disaster-resilience,climate.wildfire-smoke,stress-test,Stress-test prolonged smoke-response continuity,prolonged-smoke response continuity plan,inventory-depletion and facility-failure simulation,scenario-weighted days below minimum clean-air coverage,weeks,citywide,risk,external-validation,simulation|optimization,climate-hazard|environmental-exposure|facility-inventory|financial-cost|geographic-identity|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:04b74ad1c158568af7768fd3e9f0913d6e63149d97777d6a02b1bce21056e904,sha256:7d5691c58e5217d6802854e7cf92675dbb9d4945e96d189c8163ddc7b8e754fc
24,scenario.climate.wildfire-smoke.filtration-program-effect.v1,climate-disaster-resilience,climate.wildfire-smoke,evaluate,Evaluate household filtration and outreach effects,phased household filtration and outreach program,randomized encouragement or staggered-rollout causal evaluation,change in indoor fine-particulate concentration,seasonal,population-group,equity,causal-identification,descriptive|causal,climate-hazard|environmental-exposure|equity-attribute|geographic-identity|intervention-assignment|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:01d14455494a1f800d2845cbbfee0f109993b86d8f7747bbe53b4bf50b65a167,sha256:54842bdb01abf95b807f7b1166bb5f58184224766c5aad3466a971ba9fdda2c6
25,scenario.climate.drought-water.water-loss-balance.v1,climate-disaster-resilience,climate.drought-water,diagnose,Diagnose non-revenue water and demand anomalies,distribution-zone water balance anomalies,metered mass-balance and change-point diagnosis,unexplained distribution water volume,annual,service-area,technical,data-completeness,descriptive,asset-condition|asset-inventory|climate-hazard|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:274661ad42cd719fff91903c41a5fc5de38c41625251eb5496393c8733bbefe8,sha256:f6338bbf87fdc175c9c7ed176359833585afc831ac9fe4968ef536ae83182577
26,scenario.climate.drought-water.drought-supply-demand.v1,climate-disaster-resilience,climate.drought-water,forecast,Forecast drought supply-demand balance,seasonal urban water supply-demand balance,ensemble hydrologic and demand balance forecasting,expected potable-water shortage volume,seasonal,citywide,risk,model-calibration,forecast|simulation,asset-inventory|climate-hazard|environmental-exposure|financial-cost|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:92b4877b1b2b04dfc3d3e1081424393e5fa7219d70a945d3675fc294c7077b76,sha256:d0a3154a41d75c27296163024b24430e750111feb174ea49373c97f0527bee2f
27,scenario.climate.drought-water.water-security-portfolio.v1,climate-disaster-resilience,climate.drought-water,prioritize,"Prioritize leakage, reuse, and supply-reliability investments",water-security capital and conservation portfolio,reliability-adjusted multi-period portfolio optimization,expected annual shortage and leakage volume,multi-year,asset,budget,cost-capacity,simulation|optimization,asset-condition|asset-inventory|climate-hazard|financial-cost|legal-regulatory|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:ad3a2d4bb5a289c1822828cc40023db1ef667a7f4b5fbb250e2d5842deb10dc0,sha256:0cb0e771e37e0c80d111fc225ea1c05fd2b059c3b902740707064cc422cecfa2
28,scenario.climate.drought-water.reuse-storage-facilities.v1,climate-disaster-resilience,climate.drought-water,site,Site water reuse and distributed storage facilities,water reuse and distributed storage locations,network-constrained source-demand facility siting,unserved reliable non-potable water demand,multi-year,facility,environmental,legal-authority,simulation|optimization,asset-inventory|climate-hazard|financial-cost|land-parcel|legal-regulatory|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:f3a8bda57b5562167861cdcf9ae08299f48df63a76581200183b31f89aace17b,sha256:e3fcfd9faecd2a7bdb5822314e54305895d3cf8371d565219ddc7e3e5f0ab847
29,scenario.climate.drought-water.scarce-water-allocation.v1,climate-disaster-resilience,climate.drought-water,allocate,Allocate scarce water across essential uses,drought-period water allocation,lexicographic essential-use and equity allocation,essential demand left unmet,weeks,service-area,regulatory,legal-authority,simulation|optimization,asset-inventory|climate-hazard|equity-attribute|legal-regulatory|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:5a76735690066a1a9a88866996f3afe837e5713eff72b8cca31fc246a69fc904,sha256:f0989d4744da33baf448b0ce6227a3bf9e12506562f781af3c288d71bae5ef8d
30,scenario.climate.drought-water.drought-operations.v1,climate-disaster-resilience,climate.drought-water,schedule,"Schedule drought operations, maintenance, and restrictions",drought operating and restriction calendar,storage-triggered multi-period operations scheduling,days below emergency storage reserve,seasonal,citywide,time,temporal-alignment,forecast|optimization,asset-inventory|climate-hazard|legal-regulatory|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:d2530bc18af28eb610f7b80fb1f1543aeb535fc7ea4141b08ccb1ccace45b8b5,sha256:9971f99e71a3b46b51549a8582360ab4838201288faf1128984ce8664991c2b1
31,scenario.climate.drought-water.multi-year-water-security.v1,climate-disaster-resilience,climate.drought-water,stress-test,Stress-test multi-year urban water security,multi-year water-security strategy,stochastic storage and infrastructure reliability simulation,scenario-weighted essential shortage volume,multi-year,citywide,risk,external-validation,forecast|simulation|optimization,asset-condition|asset-inventory|climate-hazard|environmental-exposure|financial-cost|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:af9db0182aa83a7b3d504410f06d7d2aaa61c56c118e9b2b0b6ab29d5897e36c,sha256:d2929161406d7f42dd93b55908281b58b7767ace0ee4e4c1acc5dfaf00a6e861
32,scenario.climate.drought-water.conservation-incentive-effect.v1,climate-disaster-resilience,climate.drought-water,evaluate,Evaluate conservation pricing and assistance effects,phased water-conservation pricing and assistance program,staggered policy causal evaluation with meter panels,change in weather-normalized discretionary water demand,annual,population-group,equity,causal-identification,descriptive|causal,asset-inventory|climate-hazard|equity-attribute|financial-cost|intervention-assignment|operating-capacity|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:3e2bf11381862a5fe59e42c07610614395f32639b35bdce6cee5694eebd11134,sha256:06382fb026b98d4c7552bfbb159d77de850fe2fb8ae007fd790d0b85b5a61b23
33,scenario.climate.coastal-storms.coastal-dependency-exposure.v1,climate-disaster-resilience,climate.coastal-storms,diagnose,Diagnose coastal asset exposure and service dependencies,coastal critical-asset and dependency exposure,datum-aligned inundation and service-dependency graph analysis,critical service dependencies exposed to coastal flooding,multi-year,network,technical,geographic-alignment,descriptive,asset-condition|asset-inventory|climate-hazard|environmental-exposure|facility-inventory|geographic-identity,design-only,blocked-missing-source,,0,false,sha256:15238f45da74dfc8dc6cd35c266002563fad7530acf7c11ba70f27e4b6bfc929,sha256:6e269a3422ab34f1dd57602822262518ccaac6dedd8a3dbd1c406836a3bca555
34,scenario.climate.coastal-storms.storm-surge-operations.v1,climate-disaster-resilience,climate.coastal-storms,forecast,Forecast coastal storm operational impacts,event-level coastal storm operational impacts,ensemble surge-to-service impact forecasting,critical service demand above operable capacity,days,citywide,risk,model-calibration,forecast|simulation,asset-inventory|climate-hazard|geographic-identity|municipal-demand|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:4767ba34af4bdd68a85871ec7b31c91a5f17c371e3961a7766d4469238cd4934,sha256:d1ba8609e4d4d7f27cd5c33567b8c774d3b2d8e84ef2315c87741592c0786e17
35,scenario.climate.coastal-storms.coastal-adaptation-portfolio.v1,climate-disaster-resilience,climate.coastal-storms,prioritize,"Prioritize coastal protection, accommodation, and retreat",coastal adaptation investment portfolio,adaptive-pathway portfolio optimization,expected critical-service disruption across sea-level pathways,multi-year,asset,budget,cost-capacity,simulation|optimization,asset-condition|asset-inventory|climate-hazard|equity-attribute|financial-cost|geographic-identity|land-parcel,design-only,blocked-missing-source,,0,false,sha256:8ba00fc5c5c54857a3f18bbdf2da65113a70f1c4bc95ea463b860cb51cdb9f88,sha256:a1655cbd2853d1cada48fe6a69531328742c7f07fee2bdc645f563ef4537f608
36,scenario.climate.coastal-storms.coastal-shelter-logistics.v1,climate-disaster-resilience,climate.coastal-storms,site,Site coastal shelters and resilient logistics hubs,coastal shelter and emergency-logistics locations,multi-hazard capacitated facility siting with evacuation access,at-risk population beyond safe shelter capacity,multi-year,facility,risk,network-readiness,simulation|optimization,asset-inventory|climate-hazard|facility-inventory|geographic-identity|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:f0a78c4f5696c8816a0e01915c680f329afa3a8ea1ab971205a1bfccbd57f264,sha256:5171a90211c0e0d5960c6ae9e57ea33fe47d24209302242754e4e3b74bf3498f
37,scenario.climate.coastal-storms.coastal-emergency-resources.v1,climate-disaster-resilience,climate.coastal-storms,allocate,Allocate coastal emergency transport and supplies,pre-landfall coastal emergency resources,scenario-robust staging and allocation optimization,high-risk residents and critical sites without assigned support,days,network,time,temporal-alignment,forecast|simulation|optimization,asset-inventory|climate-hazard|equity-attribute|geographic-identity|operating-capacity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:a0a1c06f0cdbd3836d31084f55d63811abf2c3538193b8776fe9a54260de5b8f,sha256:65b84446a665a852ff7421fd4bedd7863f32774850bf24f1d03a2efe5ecc5354
38,scenario.climate.coastal-storms.coastal-closure-evacuation.v1,climate-disaster-resilience,climate.coastal-storms,schedule,Schedule coastal closures and phased evacuation,phased coastal closure and evacuation timetable,clearance-time and forecast-trigger scheduling,population remaining in risk zones at unsafe conditions,days,network,time,network-readiness,forecast|simulation|optimization,asset-inventory|climate-hazard|geographic-identity|legal-regulatory|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:2b881f1919d571a1abde072c7806340e7ecc093256bf1ef7582bd62dbdfc244c,sha256:29f405a613b3625a6894cdb73055a8d6a7e5da9c475d516b5e1263cf781f9201
39,scenario.climate.coastal-storms.compound-coastal-failure.v1,climate-disaster-resilience,climate.coastal-storms,stress-test,Stress-test coastal systems under compound failure,compound coastal continuity strategy,correlated multi-hazard dependency simulation,scenario-weighted critical service outage duration,weeks,network,risk,external-validation,forecast|simulation|optimization,asset-condition|asset-inventory|climate-hazard|financial-cost|geographic-identity|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:59fd4094acd8ab9869c6f5c3515f33ef4638d8f7bf0381034a4494b19e9254cb,sha256:9cbd1f90fb7ce0f609ae8bff881184840709e3ad7b3ff7ccbdc654d25b63aa96
40,scenario.climate.coastal-storms.coastal-adaptation-effect.v1,climate-disaster-resilience,climate.coastal-storms,evaluate,Evaluate property-level coastal adaptation effects,phased property elevation and voluntary acquisition program,matched event-study evaluation across comparable exposed properties,change in event-related verified loss,multi-year,parcel,equity,causal-identification,descriptive|causal,asset-inventory|climate-hazard|equity-attribute|geographic-identity|housing-market|intervention-assignment|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:3929cec2ff6ba4949a96e7ee3441b8b8031babd89a68eeddd66f9a2baa81bf66,sha256:3227ec339d24dc1c4ee91b0ac6f46385af5d032a4c01c0138cc276e80fab6c3a
41,scenario.mobility.transit-reliability.delay-propagation.v1,mobility-accessibility-operations,mobility.transit-reliability,diagnose,Diagnose transit delay propagation and missed connections,route-segment delay propagation and transfer failure,vehicle-trajectory and timetable dependency diagnosis,passenger-weighted missed connections,annual,network,technical,geographic-alignment,descriptive,geographic-identity|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:e450dd04e00b629646de410c76417da8b7f06ac85b6e5b50c4f5f55fbded654f,sha256:2fddb23d90507f595f15cb538014cb60501f5cd53131cfbb86539f04a6b79344
42,scenario.mobility.transit-reliability.crowding-delay-load.v1,mobility-accessibility-operations,mobility.transit-reliability,forecast,Forecast transit crowding and delay load,route-time passenger crowding and delay load,hierarchical passenger-load and travel-time forecasting,passenger-minutes above crowding and delay thresholds,weeks,corridor,capacity,model-calibration,forecast,geographic-identity|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:f5ab1f1524f4129405c8bd3c12817b61ee2d12258de8e345c2f14d72bf1ed64a,sha256:75e5797f2686b49463b2c5e1f2308168171b3a3971eb733767cf220013c4d1eb
43,scenario.mobility.transit-reliability.reliability-investments.v1,mobility-accessibility-operations,mobility.transit-reliability,prioritize,Prioritize transit reliability investments,transit reliability capital and operations portfolio,passenger-weighted lifecycle project optimization,expected passenger-hours of unreliable service,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|asset-inventory|financial-cost|geographic-identity|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:ce04d2a3520ed1aae204d06ef3898963274f90b4b81f567f22a534a5a50a4f50,sha256:df8f3e81b9b5f330114ecb8c3f26008a387aa7f7d1ec428eebfbc049714a4871
44,scenario.mobility.transit-reliability.transfer-hubs.v1,mobility-accessibility-operations,mobility.transit-reliability,site,Site accessible transfer and recovery hubs,accessible transfer and operational recovery hubs,network-constrained hub location with timetable dependencies,passengers beyond a reliable accessible transfer,multi-year,facility,regulatory,legal-authority,simulation|optimization,facility-inventory|geographic-identity|land-parcel|legal-regulatory|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:70c27057b255536ab7da8d68244d618f9607b1f82c0fff62311e6c002c813ed1,sha256:cbd420196326beaf86c8c0fa4d7065d7845344c93679ebe0dc2607d1fd2a547f
45,scenario.mobility.transit-reliability.fleet-spares.v1,mobility-accessibility-operations,mobility.transit-reliability,allocate,"Allocate fleet, operators, and recovery capacity","transit fleet, operator, and recovery capacity",equity-constrained block and spare allocation,passenger demand without scheduled reliable capacity,weeks,network,equity,equity-measurement,simulation|optimization,equity-attribute|geographic-identity|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:0c47243dfa9458660e917b7748dd7805e1ee9d7a701ef21fb275399f3d798438,sha256:e45400ecba3f9aaa620908d13b4e2d0cb654bd65b9121dc6920e285404650612
46,scenario.mobility.transit-reliability.timetable-connections.v1,mobility-accessibility-operations,mobility.transit-reliability,schedule,"Schedule headways, recovery time, and timed connections","route timetable, recovery, and connection schedule",multi-route timetable optimization with stochastic travel times,passenger-weighted excess wait and missed-connection time,weeks,network,time,temporal-alignment,forecast|optimization,geographic-identity|legal-regulatory|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:95b7d1198730788a32e60e4c7ebc7c3106503a74a4c87a75808bf196625261be,sha256:333b4ad7e23ed6806e1366986fd44ede916bf10a05a841474681edf30557a0ac
